epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.949663,0.949663,0.14651197130702165,0.9289119,0.9289119,0.22625509261583107
1,0.97098154,0.97098154,0.09862015430818631,0.9825907,0.9825907,0.06559298960134928
2,0.97446156,0.97446156,0.08903694515336852,0.9794819,0.9794819,0.06351589830273792
3,0.97594124,0.97594124,0.08216239807058205,0.97512954,0.97512954,0.08122677637804589
4,0.9767907,0.9767907,0.07857066607388064,0.9832124,0.9832124,0.059509930204156146
5,0.97728395,0.97728395,0.0728952652901483,0.985285,0.985285,0.05524223743460185
6,0.9791747,0.9791747,0.06835025494853203,0.9846632,0.9846632,0.05476604340318108
7,0.9798049,0.9798049,0.06457390800247474,0.986943,0.986943,0.05108598048330666
8,0.9790102,0.9790102,0.06527980230766517,0.9842487,0.9842487,0.05487041674023543
9,0.97961307,0.97961307,0.06011068880571641,0.98777205,0.98777205,0.05437033983656818
10,0.9799693,0.9799693,0.05909572596622293,0.9856995,0.9856995,0.05668887819559193
11,0.9805995,0.9805995,0.05823222959578779,0.98756474,0.98756474,0.0513004987882788
12,0.98120236,0.98120236,0.05552498482496621,0.98818654,0.98818654,0.05104010460333696
13,0.98196965,0.98196965,0.0530110762112654,0.98611397,0.98611397,0.05573886037292683
14,0.981723,0.981723,0.051248225064819276,0.98673576,0.98673576,0.054927385508859713
15,0.98205185,0.98205185,0.050157388259984455,0.986943,0.986943,0.051466992152782415
16,0.9826273,0.9826273,0.04741068583858892,0.9873575,0.9873575,0.05162690725441723
17,0.9830383,0.9830383,0.047872283570991075,0.98673576,0.98673576,0.05662680243938158
18,0.9829013,0.9829013,0.04549081837410841,0.9856995,0.9856995,0.05822649680527405
19,0.9846002,0.9846002,0.04127419920162615,0.98756474,0.98756474,0.05913915875250802
