epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.83854395,0.83854395,0.3552963618650042,0.8676815,0.8676815,0.2809400007093818
1,0.87560546,0.87560546,0.2799468997832561,0.9069087,0.9069087,0.21633414836901413
2,0.89189786,0.89189786,0.2530804522566275,0.89344263,0.89344263,0.24524951012547735
3,0.90525466,0.90525466,0.2312133838676171,0.91861826,0.91861826,0.19541605978994794
4,0.90804344,0.90804344,0.2191917580356511,0.9063232,0.9063232,0.2177538439736154
5,0.91611624,0.91611624,0.20461265034355747,0.9028103,0.9028103,0.22780458707650317
6,0.9194921,0.9194921,0.1959593842470679,0.92447305,0.92447305,0.17573626695388375
7,0.9251431,0.9251431,0.18310756785840201,0.9303279,0.9303279,0.15711788459739864
8,0.9293263,0.9293263,0.17227024754513978,0.94086653,0.94086653,0.14637417505021955
9,0.9326288,0.9326288,0.16552089900325156,0.92798597,0.92798597,0.17908815603345563
10,0.93827975,0.93827975,0.15751351931407276,0.94203746,0.94203746,0.14132948579218685
11,0.93923384,0.93923384,0.150045909572589,0.93442625,0.93442625,0.1668836621729007
12,0.9426097,0.9426097,0.1443205458955077,0.9461358,0.9461358,0.1383071290699883
13,0.94554526,0.94554526,0.13725671647413176,0.94847775,0.94847775,0.1281912477394736
14,0.94708645,0.94708645,0.13226809401246098,0.94906324,0.94906324,0.12594239243613753
15,0.9489212,0.9489212,0.12723219498683574,0.9127635,0.9127635,0.20229877776682237
16,0.9489212,0.9489212,0.1242089441269483,0.9373536,0.9373536,0.14713105920536457
17,0.9519301,0.9519301,0.11732549372222234,0.9461358,0.9461358,0.132557426249953
18,0.9567738,0.9567738,0.1117644347485582,0.94320846,0.94320846,0.14492807516378875
19,0.95398504,0.95398504,0.1113250420349391,0.9385246,0.9385246,0.14502863421931478
