epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.96905845,0.96905845,0.08957004402571103,0.9866807,0.9866807,0.04137072799776721
1,0.98230845,0.98230845,0.05252676333621721,0.9893679,0.9893679,0.032659261302280626
2,0.98544896,0.98544896,0.04233682725645177,0.9874985,0.9874985,0.03632685595805389
3,0.9867051,0.9867051,0.03890862651399387,0.98633015,0.98633015,0.03820548072968295
4,0.988066,0.988066,0.03432271457820143,0.9901858,0.9901858,0.02702619117997062
5,0.9891428,0.9891428,0.032087481639073816,0.99100363,0.99100363,0.02535648150975608
6,0.9894269,0.9894269,0.03065817915042999,0.9919383,0.9919383,0.023326602107719568
7,0.9902345,0.9902345,0.027564756342368598,0.992873,0.992873,0.02396817444884617
8,0.99128133,0.99128133,0.02533619125308159,0.9788527,0.9788527,0.05478055548847317
9,0.9916253,0.9916253,0.02455461959532103,0.9886669,0.9886669,0.028390134590156598
10,0.99204403,0.99204403,0.0223935669848674,0.9933404,0.9933404,0.019914442865746097
11,0.99280673,0.99280673,0.021090831485934984,0.9955602,0.9955602,0.01615170069831401
12,0.9924927,0.9924927,0.0212917261360196,0.98983526,0.98983526,0.029589293336391626
13,0.9931058,0.9931058,0.020228347318463843,0.9906531,0.9906531,0.026848377308073025
14,0.99331516,0.99331516,0.01909536403114388,0.9939245,0.9939245,0.01780056367971891
15,0.99391335,0.99391335,0.017170221627066603,0.9940414,0.9940414,0.01865584932320086
16,0.9934199,0.9934199,0.01868920785947942,0.99310666,0.99310666,0.025802750479269353
17,0.9939283,0.9939283,0.0175911725823657,0.9940414,0.9940414,0.018324465365634927
18,0.99407786,0.99407786,0.016684791578753525,0.9940414,0.9940414,0.016622729879938992
19,0.9947658,0.9947658,0.015021619318794529,0.99462557,0.99462557,0.01695045396117166
0,0.9698361158370972,0.9698361158370972,0.08912080526351929,0.979670524597168,0.979670524597168,0.0609816312789917
1,0.9807381629943848,0.9807381629943848,0.05613572895526886,0.9883164167404175,0.9883164167404175,0.03567473217844963
2,0.9825177788734436,0.9825177788734436,0.05011926218867302,0.9871480464935303,0.9871480464935303,0.03759562969207764
3,0.9849105477333069,0.9849105477333069,0.045045267790555954,0.9859796762466431,0.9859796762466431,0.04192168638110161
4,0.9862714409828186,0.9862714409828186,0.0409170426428318,0.9877322316169739,0.9877322316169739,0.03586479648947716
5,0.986376166343689,0.986376166343689,0.03932051360607147,0.9871480464935303,0.9871480464935303,0.03858490660786629
6,0.9879613518714905,0.9879613518714905,0.03582920879125595,0.9890174269676208,0.9890174269676208,0.03103095293045044
7,0.9883352518081665,0.9883352518081665,0.03409396484494209,0.9867975115776062,0.9867975115776062,0.03600342199206352
8,0.9890979528427124,0.9890979528427124,0.03268470987677574,0.9894847273826599,0.9894847273826599,0.02850276418030262
9,0.9894119501113892,0.9894119501113892,0.031342536211013794,0.9897184371948242,0.9897184371948242,0.028066270053386688
10,0.9893671274185181,0.9893671274185181,0.03073747828602791,0.9908868074417114,0.9908868074417114,0.025136113166809082
11,0.9898605942726135,0.9898605942726135,0.029501311480998993,0.9905362725257874,0.9905362725257874,0.02943410538136959
12,0.9900849461555481,0.9900849461555481,0.030027683824300766,0.9917046427726746,0.9917046427726746,0.025273507460951805
13,0.9906532168388367,0.9906532168388367,0.02791643515229225,0.9894847273826599,0.9894847273826599,0.03438889980316162
14,0.9905635118484497,0.9905635118484497,0.027934003621339798,0.9867975115776062,0.9867975115776062,0.04053647816181183
15,0.9908925294876099,0.9908925294876099,0.026637984439730644,0.9907699227333069,0.9907699227333069,0.026563124731183052
16,0.9902344942092896,0.9902344942092896,0.02791675738990307,0.9905362725257874,0.9905362725257874,0.027613017708063126
17,0.9909971952438354,0.9909971952438354,0.026648741215467453,0.9917046427726746,0.9917046427726746,0.024134792387485504
18,0.9910569787025452,0.9910569787025452,0.026822775602340698,0.9915878176689148,0.9915878176689148,0.026675928384065628
19,0.9913411736488342,0.9913411736488342,0.0246464554220438,0.991470992565155,0.991470992565155,0.02706068940460682
0,0.968579888343811,0.968579888343811,0.089711032807827,0.9857460260391235,0.9857460260391235,0.048029981553554535
1,0.9809325933456421,0.9809325933456421,0.05731743201613426,0.9862133264541626,0.9862133264541626,0.04582054540514946
2,0.9829066395759583,0.9829066395759583,0.049799270927906036,0.9853954911231995,0.9853954911231995,0.040390495210886
3,0.9854190349578857,0.9854190349578857,0.04358125850558281,0.9886668920516968,0.9886668920516968,0.031406600028276443
4,0.9863612055778503,0.9863612055778503,0.040249645709991455,0.9874985218048096,0.9874985218048096,0.03338886797428131
5,0.9867799282073975,0.9867799282073975,0.038496244698762894,0.9908868074417114,0.9908868074417114,0.028189025819301605
6,0.9874379634857178,0.9874379634857178,0.03610905632376671,0.98726487159729,0.98726487159729,0.034371353685855865
7,0.9878716468811035,0.9878716468811035,0.036794014275074005,0.9905362725257874,0.9905362725257874,0.027137992903590202
8,0.9877220988273621,0.9877220988273621,0.03550933673977852,0.988550066947937,0.988550066947937,0.031326714903116226
