epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.97110724,0.97110724,0.08223131133690578,0.98714805,0.98714805,0.03799587579054286
1,0.9822486,0.9822486,0.05232250868994804,0.9886669,0.9886669,0.03426413978329763
2,0.98435724,0.98435724,0.0461533474750122,0.99041945,0.99041945,0.028123528810849303
3,0.98618174,0.98618174,0.04109425578405827,0.9908868,0.9908868,0.02626051537995915
4,0.987423,0.987423,0.03674365439461535,0.9927562,0.9927562,0.021215601140068055
5,0.98779684,0.98779684,0.03393713762873539,0.992873,0.992873,0.020467531884680833
6,0.98918766,0.98918766,0.03068556691260692,0.9934572,0.9934572,0.020953127049181258
7,0.98983073,0.98983073,0.028398217989820174,0.9879659,0.9879659,0.03458840611617316
8,0.9907579,0.9907579,0.02568264278384368,0.9927562,0.9927562,0.01782674021953187
9,0.99098223,0.99098223,0.024439197541325113,0.9939245,0.9939245,0.017448045165414684
10,0.99170005,0.99170005,0.022701905807490663,0.9941582,0.9941582,0.016559275808853732
11,0.9918496,0.9918496,0.02164614247097932,0.9941582,0.9941582,0.01613208838461411
12,0.9923132,0.9923132,0.019843657679481083,0.99497604,0.99497604,0.014113736470548852
13,0.9926871,0.9926871,0.019701002896936107,0.99591076,0.99591076,0.014966807025136543
14,0.9931507,0.9931507,0.01761890848995783,0.9948592,0.9948592,0.016946930803575854
15,0.99322546,0.99322546,0.017390295501587338,0.9938077,0.9938077,0.018452978333287497
16,0.99356943,0.99356943,0.017054048709009215,0.9927562,0.9927562,0.019748419139899286
17,0.9939732,0.9939732,0.016043236259422895,0.9954434,0.9954434,0.016105466982250558
18,0.9947658,0.9947658,0.014015885560388144,0.99509287,0.99509287,0.016937872896639134
19,0.9947808,0.9947808,0.013461878022906945,0.99439186,0.99439186,0.0182703383374932
